complaint_id,product,sub_product,issue,company,state,city,zip_code,status,company_response_to_consumer,timely_response,consumer_disputed,response_time_days
101709,Credit Reporting,Collections,Other,Northstar Finance,Il,Chicago,00123,In Progress,,,Y,58
101248,Student Loan,Fixed loan,Identity theft,FinServ Co,Ny,,75201,Open,,Yes,Yes,57
101169,Bank Account,Fixed loan,Identity theft,,Il,New York,40722,  ,In progress,,,37
101242,Credit Card,Interest rate,Identity theft,,Nc,Charlotte,00000,,Closed,,No,10
101499,Mortgage,Collections,Other,Northstar Finance,Mi,New York,54760,,,N,Y,38
101756,Credit  Card,Fixed loan,Incorrect information,,Pa,Atlanta,51767,,Closed,TRUE,Y,16
101673,Student Loan,Interest rate,Incorrect information,,Fl,Columbus,,Open,,,FALSE,7
100997,Bank Account,,Fees,FinServ Co,,Houston,85216,Open,,No,,18
100661,,Rewards,Billing disputes,Acme Bank,Ca,Charlotte,98790,In Progress,,,TRUE,27
101310,Student Loan,,Billing disputes,Northstar Finance,Ga,New York,70818,  ,,N,TRUE,36
100605,Student Loan,Interest rate,Fees,,Mi,Houston,,Open,,Yes,TRUE,24
101054,Student Loan,Adjustable loan,Other,,Ca,Los Angeles,71629,In Progress,,,TRUE,13
100141,Credit Reporting,Adjustable loan,Identity theft,,Ny,Philadelphia,27040,Resolved,In progress,FALSE,,6
100606,Student Loan,Collections,Fees,,Mi,Miami,69022,In Progress,,Yes,Y,24
101382,Credit Card,Fixed loan,Fees,Metro Loans,Tx,Houston,84070,Open,In progress,Y,N,9
100533,Credit  Card,,Fees,,Ga,Columbus,22050,,,TRUE,TRUE,8
100335,Student Loan,Rewards,Other,,Tx,,00000,,Closed,FALSE,No,45
100225,Debt Collection,Rewards,Incorrect information,Northstar Finance,,Miami,65163,,,TRUE,,25
101962,Credit Reporting,Adjustable loan,Fees,Metro Loans,Il,Chicago,38277,Resolved,Closed with explanation,,Y,43
100467,Debt Collection,Rewards,Fees,,Pa,Los Angeles,76589,  ,,No,FALSE,40
101567,Debt Collection,Interest rate,Other,,,Columbus,72721,  ,,FALSE,TRUE,1
101292,Credit Reporting,,Identity theft,United Credit,Mi,New York,47931,In Progress,,TRUE,,-1
100063,Credit Card,Interest rate,Incorrect information,Northstar Finance,Il,Los Angeles,29809,  ,,No,N,32
101039,Debt Collection,Fixed loan,Other,Northstar Finance,Ny,Atlanta,26296,Closed,,N,N,59
100935,Credit  Card,Rewards,Incorrect information,Acme Bank,Ny,Detroit,31296,Open,,Y,N,59
100830,Credit Reporting,Collections,Fees,,Oh,Philadelphia,76530,In Progress,,FALSE,,-1
101523,Credit  Card,Fixed loan,Other,Northstar Finance,,Atlanta,34956,Open,,Y,TRUE,32
101442,Student Loan,Collections,Other,United Credit,Mi,,26114,  ,In progress,No,TRUE,-3
100170,Mortgage,,Collection harassment,Northstar Finance,Tx,Detroit,37022,Closed,,,Y,-4
100561,Bank Account,,Collection harassment,Metro Loans,,,48787,Closed,,TRUE,Yes,46
100881,Student  Loan,Fixed loan,Fees,Northstar Finance,Ca,,90713,Closed,Closed,TRUE,Yes,35
100649,Mortgage,Rewards,Fees,Northstar Finance,,,92983,In Progress,Closed with explanation,No,FALSE,4
100599,Credit Reporting,Rewards,Collection harassment,Acme Bank,Nc,Chicago,15173,,,No,FALSE,9
101126,Credit Card,Adjustable loan,Collection harassment,Northstar Finance,Nc,Atlanta,79918,In Progress,,FALSE,N,43
100238,Mortgage,Adjustable loan,,Metro Loans,,Atlanta,70157,  ,Closed,No,TRUE,6
101384,Credit Reporting,Rewards,Collection harassment,Acme Bank,Il,Detroit,99298,,,TRUE,Yes,23
101354,Bank Account,Collections,Identity theft,Metro Loans,,Chicago,52967,  ,,FALSE,,31
101850,Student Loan,Fixed loan,Identity theft,Metro Loans,,,,Open,In progress,FALSE,,58
101412,Student Loan,Fixed loan,Incorrect information,Northstar Finance,Ga,Chicago,88825,Closed,Closed,,FALSE,-1
100060,Credit Card,Interest rate,Incorrect information,Northstar Finance,,Detroit,18345,Open,Closed,N,,53
101289,Credit Card,,Billing disputes, ,Mi,Atlanta,85421,In Progress,In progress,Yes,,7
100300,,Rewards,Collection harassment,Metro Loans,Ny,Philadelphia,41437,,Closed with explanation,,TRUE,27
101931,Bank Account,,Billing disputes,,,Charlotte,11239,Closed,Closed,N,No,19
100927,Student Loan,Collections,Collection harassment,FinServ Co,Fl,,37053,Open,Closed,N,N,43
101898,Student Loan,,Identity theft,United Credit,Pa,Houston,70799,In Progress,,Y,N,11
100581,Bank Account,,Incorrect information, ,Pa,Miami,95673,Resolved,,No,No,30
101504,Debt Collection,Interest rate,Identity theft,United Credit,Ga,New York,88727,Resolved,Closed,No,N,23
100032,Bank Account,,Billing disputes,Metro Loans,Fl,New York,47745,Closed,,FALSE,N,15
101543,Credit Reporting,,Other,,Oh,Atlanta,17308,Open,In progress,,Y,1
101159,Credit Reporting,Rewards,Other,,Nc,Chicago,30829,Resolved,,FALSE,No,-5
100214,Student Loan,Collections,Fees,Acme Bank,Oh,New York,,Resolved,Closed with explanation,Yes,No,25
100940,Debt Collection,Adjustable loan,Other,,Ga,Atlanta,,In Progress,Closed with explanation,No,Y,6
100189,Student Loan,Collections,Fees,United Credit,,Charlotte,30880,  ,Closed with explanation,N,Yes,44
101983,Bank Account,Collections,Incorrect information,Metro Loans,Ga,New York,11070,Open,,No,,48
101253,Credit  Card,Interest rate,Fees,Acme Bank,Pa,New York,00000,  ,,No,,19
100590,Debt  Collection,Adjustable loan,Identity theft,,Ga,New York,17992,In Progress,In progress,No,,3
101350,Credit Reporting,Fixed loan,Identity theft,,Nc,New York,60353,Resolved,Closed,N,Yes,54
101704,Bank Account,Interest rate,Billing disputes,Acme Bank,Pa,Houston,45115,In Progress,Closed with explanation,FALSE,Y,58
101296,Bank Account,Adjustable loan,,,Oh,Columbus,98605,Resolved,In progress,Y,Yes,-1
100145,Debt Collection,Interest rate,Other,,,Los Angeles,,Open,,,No,6
101629,Credit Reporting,Collections,Incorrect information,Acme Bank,Mi,Miami,66433,,,TRUE,,9
100547,Bank Account,Collections,Identity theft,Acme Bank,Tx,Chicago,16471,In Progress,,,,13
100423,Credit Card,Fixed loan,Fees,Northstar Finance,Ca,Los Angeles,18010,In Progress,In progress,,Y,4
101206,Mortgage,,Identity theft, ,Pa,New York,75515,,,No,,41
101443,Debt Collection,,Incorrect information,FinServ Co,Ga,,45606,Closed,,FALSE,,9
101669,Student  Loan,Rewards,Fees,Metro Loans,Pa,Detroit,71064,Resolved,,,Y,7
100604,Credit  Card,Adjustable loan,Identity theft,,Ga,Chicago,,,Closed,N,,26
100730,Student  Loan,Collections,Other,FinServ Co,,Miami,00123,,,,,36
101026,Credit Reporting,Collections,Identity theft,United Credit,,,10469,Resolved,,,Y,36
100088,,,Incorrect information,United Credit,Ga,Miami,30010,,,N,No,5
101963,Mortgage,Collections,Collection harassment,,,Los Angeles,98603,In Progress,Closed with explanation,,No,17
100779,Student Loan,Fixed loan,Billing disputes, ,,New York,56338,Open,,,FALSE,33
100630,Student Loan,Rewards,Fees,,Nc,New York,78675,Closed,Closed,TRUE,FALSE,8
101000,Credit Reporting,,,,Fl,,75392,Resolved,Closed with explanation,Yes,,-3
100010,Debt Collection,Interest rate,Other,Metro Loans,Ny,Miami,94980,Resolved,In progress,,No,22
101798,Mortgage,Rewards,Fees,,Ny,Philadelphia,73999,Closed,,,Y,34
100662,Bank Account,Collections,Other,Acme Bank,Il,Chicago,94770,  ,In progress,Yes,,47
100322,Debt Collection,Collections,Billing disputes, ,,Los Angeles,52524,Open,In progress,Y,N,18
101631,Student Loan,Rewards,Fees,Northstar Finance,Ny,,00123,  ,In progress,No,Yes,-3
100577,Credit Reporting,,Incorrect information,,Oh,,87785,In Progress,,Yes,No,38
100157,Mortgage,Fixed loan,Collection harassment,,,Miami,00000,Resolved,,FALSE,,56
101566,Credit Card,Collections,Identity theft,Acme Bank,Mi,,80549,In Progress,Closed,Y,FALSE,50
100571,Credit  Card,,Other,United Credit,Ca,Miami,97885,Closed,Closed,TRUE,No,28
100112,Bank Account,Rewards,Fees,Acme Bank,,New York,,Closed,In progress,TRUE,TRUE,43
100870,,Adjustable loan,Identity theft,,Tx,,81258,  ,,TRUE,Y,10
101286,Credit Card,Rewards,Other,,,Miami,34292,Closed,Closed with explanation,,No,8
101541,Credit  Card,Fixed loan,Identity theft,Acme Bank,Fl,Los Angeles,36404,Open,In progress,No,Yes,-2
101223,Student Loan,Interest rate,Incorrect information,,Ga,,11879,,,Y,N,51
101030,Debt  Collection,Collections,Fees,Acme Bank,,Los Angeles,00123,In Progress,Closed with explanation,N,Yes,58
101278,Bank Account,,Billing disputes,Northstar Finance,Pa,Philadelphia,,  ,,Yes,TRUE,53
101046,,,Incorrect information,,Tx,Philadelphia,15165,Closed,,Yes,FALSE,25
100334,Credit Reporting,Collections,Other,,Ga,Miami,46098,Closed,,FALSE,N,20
101224,Mortgage,,Other,FinServ Co,Ga,Atlanta,57789,  ,Closed,Yes,Yes,-2
101413,Credit Card,Adjustable loan,Other,Metro Loans,,,14311,Open,,Yes,No,21
100344,Student Loan,,Billing disputes,Metro Loans,,Miami,95420,Resolved,,TRUE,TRUE,37
101736,Bank Account,Fixed loan,Identity theft,United Credit,Ny,,,,Closed with explanation,Yes,Yes,40
101213,Credit Reporting,,Collection harassment,,Il,,88684,Closed,,N,,24
100608,Credit Card,Adjustable loan,,,,Atlanta,97001,Open,In progress,Y,TRUE,20
100459,Mortgage,Adjustable loan,Incorrect information,,,Philadelphia,11085,Closed,Closed,No,,3
100306,Student Loan,Collections,Collection harassment,,Nc,New York,97729,  ,,Y,TRUE,20
100647,Student Loan,,Collection harassment,Acme Bank,,Los Angeles,51996,,,,FALSE,55
101027,Bank Account,,Fees,Northstar Finance,Mi,New York,93206,Closed,,No,FALSE,43
100786,Credit Card,,Other,Metro Loans,Tx,New York,55056,  ,,,No,35
101743,Credit Reporting,Fixed loan,Incorrect information,Metro Loans,Ca,,00000,  ,Closed,,No,38
100781,Credit Reporting,Fixed loan,Collection harassment,Metro Loans,,Houston,39715,Open,,FALSE,Y,17
100302,Bank Account,,Other,FinServ Co,Oh,,53876,Open,Closed with explanation,TRUE,,58
100658,Bank Account,Adjustable loan,Fees,Metro Loans,Mi,,19937,Closed,Closed with explanation,N,N,35
101739,Credit  Card,Fixed loan,Identity theft,FinServ Co,Ga,Atlanta,20358,  ,Closed,N,No,30
100618,Bank Account,,Identity theft,FinServ Co,Oh,Detroit,96767,Closed,,TRUE,Y,45
100896,Credit Card,Fixed loan,Billing disputes,Northstar Finance,Ga,New York,50970,Closed,In progress,N,Y,-4
101111,Mortgage,,Collection harassment,,Ny,New York,52478,,,TRUE,,5
101230,,Interest rate,Other,Northstar Finance,Ca,,78686,In Progress,,FALSE,FALSE,51
101171,Credit Card,Rewards,Other,Acme Bank,,Miami,22514,In Progress,Closed with explanation,No,Yes,-1
101216,Credit Card,Interest rate,Identity theft,United Credit,Fl,Miami,,Open,,,No,51
100039,Student Loan,Rewards,Identity theft,United Credit,Tx,Miami,38347,Open,Closed,TRUE,TRUE,18
101889,Mortgage,Interest rate,Identity theft,,Pa,Atlanta,38448,Closed,Closed with explanation,TRUE,TRUE,30
101529,Debt Collection,Interest rate,Collection harassment,United Credit,,,23132,In Progress,,Y,,47
100795,Credit Card,,Other,Metro Loans,,Atlanta,30762,Resolved,Closed,N,N,1
101122,Student  Loan,,Other,FinServ Co,Mi,,22219,In Progress,Closed with explanation,TRUE,N,43
101713,,,Billing disputes,,Mi,,,Resolved,Closed with explanation,Y,FALSE,42
100659,Student Loan,,Collection harassment,,Pa,Philadelphia,39534,,,No,,46
100782,Debt Collection,,Fees,Acme Bank,,,35923,Resolved,,TRUE,,3
101785,Debt  Collection,Interest rate,Billing disputes,FinServ Co,Nc,Los Angeles,16691,Closed,Closed with explanation,,FALSE,24
100419,Debt Collection,Collections,Identity theft,Northstar Finance,Ny,New York,79414,Open,,Yes,,38
100975,Student  Loan,Interest rate,Other,Metro Loans,Ca,Houston,13107,Closed,,TRUE,,31
101671,Credit  Card,Rewards,Other,Northstar Finance,Ny,,,  ,In progress,Yes,,10
101013,Student Loan,,Identity theft,United Credit,,Houston,86885,  ,Closed,,TRUE,5
100787,Mortgage,Interest rate,Other,,Tx,,36544,  ,Closed,,FALSE,2
101331,Student Loan,Collections,Other,,Ca,,22294,  ,Closed with explanation,,Yes,46
100199,Mortgage,Rewards,,Acme Bank,Ga,,81165,Closed,In progress,Y,N,49
101611,Credit  Card,Adjustable loan,Identity theft,Metro Loans,Fl,Los Angeles,00000,In Progress,In progress,Y,N,42
101121,Bank Account,Rewards,Collection harassment,,Nc,Columbus,26885,,Closed,FALSE,Yes,58
100040,Credit Reporting,Adjustable loan,Collection harassment,,Oh,Houston,00123,Closed,,,TRUE,38
101016,Mortgage,Collections,Identity theft,,Nc,,91501,Resolved,Closed,Yes,,7
100882,Bank Account,Collections,Other,FinServ Co,Oh,,00000,,,Y,Y,59
100006,Mortgage,Adjustable loan,Other,Metro Loans,Mi,,73944,Resolved,In progress,,No,49
100438,Bank Account,Adjustable loan,Fees,,Tx,Houston,46023,Resolved,Closed,,Y,52
101088,,Collections,Billing disputes,Acme Bank,,,93130,Closed,Closed,FALSE,No,8
100513,Student  Loan,Collections,Incorrect information,United Credit,Pa,Los Angeles,00123,Open,In progress,TRUE,TRUE,32
100488,Credit Reporting,Collections,Other,FinServ Co,Ca,,,Closed,Closed,,TRUE,-3
100641,,Adjustable loan,Incorrect information,,,Columbus,74454,Closed,,,No,-3
101481,Credit Reporting,Rewards,Collection harassment,Metro Loans,Il,Miami,60458,Open,In progress,TRUE,Y,36
101691,Credit Reporting,Adjustable loan,Incorrect information,,,Houston,23707,,,Y,FALSE,41
101291,Bank Account,Adjustable loan,Collection harassment,,,Miami,76858,,,N,Yes,19
101303,Mortgage,Adjustable loan,Identity theft,Northstar Finance,Ca,,00123,,,TRUE,Y,0
100670,Bank Account,,Fees,FinServ Co,Mi,,27806,Open,In progress,Yes,FALSE,17
101393,Debt  Collection,,Identity theft,Northstar Finance,,New York,57016,Resolved,,,TRUE,-3
100586,Debt Collection,Fixed loan,Collection harassment,United Credit,Oh,Los Angeles,67327,  ,Closed,FALSE,N,49
101793,,Collections,Other,FinServ Co,Ga,,29994,Resolved,Closed with explanation,Yes,N,12
100119,Bank Account,Rewards,Collection harassment,FinServ Co,,Detroit,,,,Yes,TRUE,35
100455,Student Loan,Rewards,Incorrect information,,Pa,Los Angeles,,,Closed,,Yes,55
100341,,Fixed loan,Identity theft,,Ga,Houston,98340,Closed,In progress,TRUE,FALSE,19
100136,Bank Account,,Billing disputes,Metro Loans,Fl,Philadelphia,47190,Open,,,N,59
100003,Student  Loan,,Fees,Metro Loans,Ga,New York,00123,  ,,,No,24
100460,Credit Card,Adjustable loan,Collection harassment,Northstar Finance,Mi,Houston,14567,Open,In progress,TRUE,FALSE,2
100550,,,Fees,,Ny,,10317,Closed,In progress,Y,,55
100737,Bank Account,,Collection harassment,,Oh,Atlanta,36450,Resolved,In progress,,FALSE,27
101450,Credit  Card,,Incorrect information,Metro Loans,Nc,Los Angeles,80090,In Progress,,,Y,5
101602,Credit Reporting,Interest rate,Incorrect information,Metro Loans,,,00000,,,FALSE,No,27
101498,Credit Reporting,Collections,Incorrect information,Acme Bank,Mi,Detroit,46316,Resolved,Closed,,Yes,29
100348,Mortgage,Fixed loan,Fees,,,Houston,10774,Resolved,Closed with explanation,,TRUE,15
100651,Student  Loan,Interest rate,Other,Metro Loans,Ny,Los Angeles,79752,Open,,,Yes,4
101548,Bank Account,Fixed loan,Identity theft,,Tx,Houston,32025,Open,Closed with explanation,,No,-4
101049,Mortgage,Fixed loan,Incorrect information,Northstar Finance,,Los Angeles,28472,Resolved,,TRUE,,6
101640,Credit Card,Rewards,Identity theft,,Fl,Detroit,94023,In Progress,,,FALSE,-3
100340,Mortgage,Fixed loan,Fees,,,Houston,32481,Open,,,FALSE,31
101196,Credit Reporting,,Fees,FinServ Co,,,15050,In Progress,,Yes,FALSE,34
100018,Credit Card,Collections,Collection harassment,FinServ Co,Ga,,64790,,Closed with explanation,Yes,No,37
101210,Credit  Card,,Billing disputes,,Pa,,55608,Closed,In progress,Yes,Yes,27
101119,Credit Card,,Collection harassment,United Credit,Ca,Charlotte,70288,Closed,In progress,No,FALSE,7
101586,Credit Card,Interest rate,Other,Metro Loans,Pa,Columbus,,,In progress,FALSE,N,16
100926,Credit Card,Adjustable loan,Other,United Credit,,Houston,58094,In Progress,,FALSE,,21
100220,Bank Account,Fixed loan,Identity theft,Northstar Finance,Oh,,68999,  ,,N,Y,-2
100082,Debt Collection,,,FinServ Co,Mi,,45235,  ,Closed,,No,-3
100987,Mortgage,Rewards,Collection harassment,FinServ Co,Tx,Columbus,,Resolved,,,Yes,32
100343,Credit  Card,Collections,Identity theft,,,Chicago,95146,In Progress,Closed with explanation,TRUE,Yes,13
100578,Mortgage,Fixed loan,Other,Northstar Finance,Mi,Detroit,89213,Resolved,In progress,,No,51
101615,Debt Collection,,Fees,,Ga,Los Angeles,75109,In Progress,,Yes,Yes,26
100240,Bank Account,Adjustable loan,,Metro Loans,Ga,,43558,Resolved,Closed with explanation,Y,N,3
