Complaint ID,Date Received,Date Sent to Company,Product,Sub-product,Issue,Company,State,ZIP code,City,Company response to consumer,Timely response?,Consumer disputed?,Latitude,Longitude,Status
100000,2023-11-10,2024-01-01,mortgage,Interest rate, ,Metro Loans,NY,75285, new york ,N/A,N,N/A,42.312932129453685,-91.46281586387592,Closed
100001,2023-03-12,2023-03-21,MORTGAGE,Collections,Collection harassment,N/A,FL,43383,miami,N/A,,N,42.236513862908915,-103.70358803270933,Resolved
100002,2023-10-20,2023-11-27, ,Interest rate,Other,N/A,NY,43864,Unknown,Unknown,FALSE,,41.279017993832,-94.25889800869959,Closed
100003,2023-02-17,2023-03-13,Student  loan,N/A,Fees,Metro Loans,GA,123, new york ,,Unknown,No,34.92411978352243,-85.7702656128205,  
100004,2023-11-21,2023-11-23,credit card,Adjustable loan,Collection harassment,United Credit,PA,62086,New York,Unknown,Yes,N/A,35.643177887368296,-86.9629919691606,Unknown
100005,2023-11-11,2023-12-22,MORTGAGE,,Fees,Acme Bank,CA,93641,Miami,Closed with explanation,FALSE,Y,31.564451039355625,-103.99558836431996,Open
100006,2023-02-12,2023-04-02,Mortgage ,Adjustable loan,Other,Metro Loans,MI,73944,N/A,In progress,,No,28.570643845484092,-113.2376104543425,Resolved
100007,2024-01-14,2024-02-15,Mortgage ,,Incorrect information,Northstar Finance,TX,89667,Detroit,N/A,No,Y,38.6967588081684,999.0,  
100008,2023-07-27,2023-08-02,Credit  Card,Fixed loan,Incorrect information,Metro Loans,IL,123,,N/A,FALSE,No,45.21381730211034,-101.46726012955111,Open
100009,2024-01-29,2024-02-03,credit reporting,Rewards,Incorrect information,Unknown,Unknown,94435,Chicago,,No,TRUE,29.83802324092237,-83.72682866712842,  
100010,2023-01-21,2023-02-12,debt collection,Interest rate,Other,Metro Loans,NY,94980,Miami,In progress,Unknown,No,41.4108127088698,-105.63445412141368,Resolved
100011,2023-03-31,2023-04-27,debt collection,Collections,Fees, ,FL,13669,N/A,Unknown,Unknown,No,44.992418493683765,-104.31327853009356,Resolved
100012,2023-09-04,2023-10-04,debt collection,Interest rate,Billing disputes,Acme Bank,IL,123,N/A,In progress,Yes,FALSE,26.64286361825058,-104.51911098118318,Open
100013,2023-04-05,2023-04-15,CREDIT reporting,Interest rate,Billing disputes,Unknown,GA,47195,N/A,Closed with explanation,TRUE,Yes,37.60593229904647,-103.66730796288667,In Progress
100013,2023-06-14,2023-07-11,MORTGAGE,Fixed loan,Fees,Metro Loans,FL,47743,Philadelphia,In progress,N,N,51.02347140320862,-98.46226844086627,In Progress
100015,2023-11-27,2023-12-11,MORTGAGE,Interest rate,Collection harassment,Acme Bank,Unknown,80055,miami,Closed with explanation,Unknown,FALSE,43.36358712430161,-111.15050174551754,Open
100016,2023-03-14,2023-04-22,MORTGAGE,Rewards,Incorrect information,,NY,72865,Atlanta,In progress,Y,N,26.406799956563983,-87.50640043673049,  
100017,2023-12-05,2024-01-20,MORTGAGE,Collections,Fees,Unknown,Unknown,29159,,Closed,FALSE,Yes,44.10837623688128,-99.79821078009647,Resolved
100018,2023-02-21,2023-03-30,Credit card ,Collections,Collection harassment,FinServ Co,GA,64790,,Closed with explanation,Yes,No,34.2658424404017,-73.55865425274663,Unknown
100019,2023-03-29,2023-03-24,Bank account,,Fees,Metro Loans,NY,00000,Columbus,N/A,No,N/A,-200.0,-110.08570998550015,Open
100020,2023-10-21,2023-12-19,credit card,N/A,Other,FinServ Co,CA,49610,Miami,Unknown,Unknown,,34.669427633794584,-82.4513382817509,  
